OBJECTID,src_NAME,nbr_NAME,src_POP2005,src_LON,src_LAT,LENGTH,NODE_COUNT
1,Afghanistan,China,25067407,65.2160034,33.6769981,0.840676344,0
2,Afghanistan,Iran (Islamic Republic of),25067407,65.2160034,33.6769981,8.124143713,0
3,Afghanistan,Pakistan,25067407,65.2160034,33.6769981,22.27989556,0
4,Afghanistan,Tajikistan,25067407,65.2160034,33.6769981,11.33270565,0
5,Afghanistan,Turkmenistan,25067407,65.2160034,33.6769981,7.230387729,0
6,Afghanistan,Uzbekistan,25067407,65.2160034,33.6769981,1.369895556,0
7,Albania,Greece,3153731,20.0680008,41.1430016,2.166997997,0
8,Albania,Montenegro,3153731,20.0680008,41.1430016,1.612737536,0
9,Albania,Serbia,3153731,20.0680008,41.1430016,1.000447789,0
10,Albania,The former Yugoslav Republic of Macedonia,3153731,20.0680008,41.1430016,1.519841793,0
11,Algeria,Libyan Arab Jamahiriya,32854159,2.632,28.1630001,9.002935745,0
12,Algeria,Mali,32854159,2.632,28.1630001,11.92260917,0
13,Algeria,Mauritania,32854159,2.632,28.1630001,4.489323537,0
14,Algeria,Morocco,32854159,2.632,28.1630001,14.93910066,0
15,Algeria,Niger,32854159,2.632,28.1630001,9.019381378,0
16,Algeria,Tunisia,32854159,2.632,28.1630001,8.577901242,0
17,Algeria,Western Sahara,32854159,2.632,28.1630001,0.37620775,0
18,Andorra,France,73483,1.576,42.5489998,0.48410475,0
19,Andorra,Spain,73483,1.576,42.5489998,0.459361446,0
20,Angola,Congo,16095214,17.5440006,-12.2959995,1.56772562,0
21,Angola,Democratic Republic of the Congo,16095214,17.5440006,-12.2959995,20.02734412,0
22,Angola,Namibia,16095214,17.5440006,-12.2959995,12.41439811,0
23,Angola,Zambia,16095214,17.5440006,-12.2959995,9.637210266,0
24,Argentina,Bolivia,38747148,-65.1669998,-35.3769989,6.587782016,0
25,Argentina,Brazil,38747148,-65.1669998,-35.3769989,8.045331457,0
26,Argentina,Chile,38747148,-65.1669998,-35.3769989,49.00671799,0
27,Argentina,Paraguay,38747148,-65.1669998,-35.3769989,14.66848431,0
28,Argentina,Uruguay,38747148,-65.1669998,-35.3769989,2.770196465,0
29,Armenia,Azerbaijan,3017661,44.5629997,40.5340004,7.749084218,0
30,Armenia,Georgia,3017661,44.5629997,40.5340004,1.617763417,0
31,Armenia,Iran (Islamic Republic of),3017661,44.5629997,40.5340004,0.380563127,0
32,Armenia,Turkey,3017661,44.5629997,40.5340004,2.572249756,0
33,Austria,Czech Republic,8291979,14.9119997,47.6829987,3.684305495,0
34,Austria,Germany,8291979,14.9119997,47.6829987,6.861388424,0
35,Austria,Hungary,8291979,14.9119997,47.6829987,2.637963282,0
36,Austria,Italy,8291979,14.9119997,47.6829987,3.848697571,0
37,Austria,Liechtenstein,8291979,14.9119997,47.6829987,0.260912852,0
38,Austria,Slovakia,8291979,14.9119997,47.6829987,0.801924,0
39,Austria,Slovenia,8291979,14.9119997,47.6829987,2.603290544,0
40,Austria,Switzerland,8291979,14.9119997,47.6829987,1.556325624,0
41,Azerbaijan,Armenia,8352021,47.3950005,40.4300003,7.749084218,0
